Protein Group#,Protein Accession #,Protein Description,GN,Protein_ID
SJPG102208.001,sp|A2A432|CUL4B_MOUSE,Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1,Cul4b,A2A432
SJPG101868.002,sp|A2ASZ8-2|SCMC2_MOUSE,Isoform 2 of Calcium-binding mitochondrial carrier protein SCaMC-2 OS=Mus musculus GN=Slc25a25,Slc25a25,A2ASZ8-2
SJPG101868.001,sp|A2ASZ8|SCMC2_MOUSE,Calcium-binding mitochondrial carrier protein SCaMC-2 OS=Mus musculus GN=Slc25a25 PE=2 SV=1,Slc25a25,A2ASZ8
SJPG112454.001,sp|A2AUC9|KLH41_MOUSE,Kelch-like protein 41 OS=Mus musculus GN=Klhl41 PE=1 SV=1,Klhl41,A2AUC9
SJPG112010.001,sp|A2AUM9|CE152_MOUSE,Centrosomal protein of 152 kDa OS=Mus musculus GN=Cep152 PE=1 SV=1,Cep152,A2AUM9
SJPG103425.001,sp|A2AWA9|RBGP1_MOUSE,Rab GTPase-activating protein 1 OS=Mus musculus GN=Rabgap1 PE=1 SV=1,Rabgap1,A2AWA9
SJPG104372.001,sp|A2AWP8|ARGAL_MOUSE,Rho guanine nucleotide exchange factor 10-like protein OS=Mus musculus GN=Arhgef10l PE=1 SV=1,Arhgef10l,A2AWP8
SJPG106189.001,sp|A2BDX3|MOCS3_MOUSE,Adenylyltransferase and sulfurtransferase MOCS3 OS=Mus musculus GN=Mocs3 PE=2 SV=1,Mocs3,A2BDX3
SJPG103166.001,sp|A2CG49|KALRN_MOUSE,Kalirin OS=Mus musculus GN=Kalrn PE=1 SV=1,Kalrn,A2CG49
SJPG108909.001,sp|A2CG63|ARI4B_MOUSE,AT-rich interactive domain-containing protein 4B OS=Mus musculus GN=Arid4b PE=1 SV=1,Arid4b,A2CG63
SJPG106453.001,sp|A2RSJ4|UH1BL_MOUSE,UHRF1-binding protein 1-like OS=Mus musculus GN=Uhrf1bp1l PE=1 SV=2,Uhrf1bp1l,A2RSJ4
SJPG102923.001,sp|A2RSQ0|DEN5B_MOUSE,DENN domain-containing protein 5B OS=Mus musculus GN=Dennd5b PE=1 SV=2,Dennd5b,A2RSQ0
SJPG104563.001,sp|A3KFX0|5NT1A_MOUSE,Cytosolic 5'-nucleotidase 1A OS=Mus musculus GN=Nt5c1a PE=2 SV=1,Nt5c1a,A3KFX0
SJPG108007.001,sp|A3KG59|P20D2_MOUSE,Peptidase M20 domain-containing protein 2 OS=Mus musculus GN=Pm20d2 PE=2 SV=1,Pm20d2,A3KG59
SJPG103890.001,sp|A3KMP2|TTC38_MOUSE,Tetratricopeptide repeat protein 38 OS=Mus musculus GN=Ttc38 PE=2 SV=2,Ttc38,A3KMP2
SJPG113617.001,sp|A6H584|CO6A5_MOUSE,Collagen alpha-5(VI) chain OS=Mus musculus GN=Col6a5 PE=1 SV=3,Col6a5,A6H584
SJPG104665.001,sp|A6H5Y3|METH_MOUSE,Methionine synthase OS=Mus musculus GN=Mtr PE=2 SV=1,Mtr,A6H5Y3
SJPG102889.001,sp|A6H5Z3|EXC6B_MOUSE,Exocyst complex component 6B OS=Mus musculus GN=Exoc6b PE=2 SV=1,Exoc6b,A6H5Z3
SJPG105353.001,sp|A6H611|MIPEP_MOUSE,Mitochondrial intermediate peptidase OS=Mus musculus GN=Mipep PE=2 SV=1,Mipep,A6H611
SJPG106840.002,sp|A6H630|CF211_MOUSE,UPF0364 protein C6orf211 homolog OS=Mus musculus PE=2 SV=1,,A6H630
SJPG121360.001,sp|A6H6E9|TT23L_MOUSE,Tetratricopeptide repeat protein 23-like OS=Mus musculus GN=Ttc23l PE=2 SV=1,Ttc23l,A6H6E9
SJPG107226.001,sp|A6H8H2|DEN4C_MOUSE,DENN domain-containing protein 4C OS=Mus musculus GN=Dennd4c PE=1 SV=1,Dennd4c,A6H8H2
SJPG107024.001,sp|A6X8Z5|RHG31_MOUSE,Rho GTPase-activating protein 31 OS=Mus musculus GN=Arhgap31 PE=1 SV=1,Arhgap31,A6X8Z5
SJPG106041.001,sp|A6X935|ITIH4_MOUSE,"Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus GN=Itih4 PE=1 SV=2",Itih4,A6X935
SJPG109424.001,sp|B1AR13|CISD3_MOUSE,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial OS=Mus musculus GN=Cisd3 PE=1 SV=1",Cisd3,B1AR13
SJPG109874.001,sp|B1AVY7|KI16B_MOUSE,Kinesin-like protein KIF16B OS=Mus musculus GN=Kif16b PE=1 SV=1,Kif16b,B1AVY7
SJPG108323.001,sp|B1AXP6|TOM5_MOUSE,Mitochondrial import receptor subunit TOM5 homolog OS=Mus musculus GN=Tomm5 PE=3 SV=1,Tomm5,B1AXP6
SJPG103536.001,sp|B1AY13|UBP24_MOUSE,Ubiquitin carboxyl-terminal hydrolase 24 OS=Mus musculus GN=Usp24 PE=1 SV=1,Usp24,B1AY13
SJPG103677.001,sp|B1AZA5|TM245_MOUSE,Transmembrane protein 245 OS=Mus musculus GN=Tmem245 PE=1 SV=1,Tmem245,B1AZA5
SJPG106995.001,sp|B1AZI6|THOC2_MOUSE,THO complex subunit 2 OS=Mus musculus GN=Thoc2 PE=1 SV=1,Thoc2,B1AZI6
SJPG100536.001,sp|B1AZP2|DLGP4_MOUSE,Disks large-associated protein 4 OS=Mus musculus GN=Dlgap4 PE=1 SV=1,Dlgap4,B1AZP2
SJPG102652.001,sp|B2RQC6|PYR1_MOUSE,CAD protein OS=Mus musculus GN=Cad PE=2 SV=1,Cad,B2RQC6
SJPG105465.001,sp|B2RRE7|OTUD4_MOUSE,OTU domain-containing protein 4 OS=Mus musculus GN=Otud4 PE=1 SV=1,Otud4,B2RRE7
SJPG100627.001,sp|B2RSH2|GNAI1_MOUSE,Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Mus musculus GN=Gnai1 PE=2 SV=1,Gnai1,B2RSH2
SJPG103012.001,sp|B2RUR8|OTU7B_MOUSE,OTU domain-containing protein 7B OS=Mus musculus GN=Otud7b PE=1 SV=1,Otud7b,B2RUR8
SJPG121041.001,sp|B2RVY9|TM182_MOUSE,Transmembrane protein 182 OS=Mus musculus GN=Tmem182 PE=2 SV=1,Tmem182,B2RVY9
SJPG103350.001,sp|B2RXC1|TPC11_MOUSE,Trafficking protein particle complex subunit 11 OS=Mus musculus GN=Trappc11 PE=2 SV=1,Trappc11,B2RXC1
SJPG104243.001,sp|B2RXR6|ANR44_MOUSE,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Mus musculus GN=Ankrd44 PE=2 SV=1,Ankrd44,B2RXR6
SJPG103756.001,sp|B2RY56|RBM25_MOUSE,RNA-binding protein 25 OS=Mus musculus GN=Rbm25 PE=1 SV=2,Rbm25,B2RY56
SJPG106727.001,sp|B7ZMP1|XPP3_MOUSE,Probable Xaa-Pro aminopeptidase 3 OS=Mus musculus GN=Xpnpep3 PE=2 SV=1,Xpnpep3,B7ZMP1
SJPG103334.001,sp|D3YXK2|SAFB1_MOUSE,Scaffold attachment factor B1 OS=Mus musculus GN=Safb PE=1 SV=2,Safb,D3YXK2
SJPG108634.001,sp|D3YYU8|OBSL1_MOUSE,Obscurin-like protein 1 OS=Mus musculus GN=Obsl1 PE=2 SV=1,Obsl1,D3YYU8
SJPG101104.001,sp|D3YZP9|CCDC6_MOUSE,Coiled-coil domain-containing protein 6 OS=Mus musculus GN=Ccdc6 PE=1 SV=1,Ccdc6,D3YZP9
SJPG102084.001,sp|D3YZU1|SHAN1_MOUSE,SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus GN=Shank1 PE=1 SV=1,Shank1,D3YZU1
SJPG121063.001,sp|D3Z1U7|TM233_MOUSE,Transmembrane protein 233 OS=Mus musculus GN=Tmem233 PE=3 SV=2,Tmem233,D3Z1U7
SJPG104261.001,sp|D3Z4S3|PTRD1_MOUSE,Putative peptidyl-tRNA hydrolase PTRHD1 OS=Mus musculus GN=Ptrhd1 PE=3 SV=1,Ptrhd1,D3Z4S3
SJPG109061.001,sp|D3Z6H8|DCAM2_MOUSE,S-adenosylmethionine decarboxylase proenzyme 2 OS=Mus musculus GN=Amd2 PE=2 SV=1,Amd2,D3Z6H8
SJPG100756.001,sp|D3Z6Q9|BIN2_MOUSE,Bridging integrator 2 OS=Mus musculus GN=Bin2 PE=1 SV=1,Bin2,D3Z6Q9
SJPG102017.002,sp|D3Z7P3-2|GLSK_MOUSE,"Isoform 2 of Glutaminase kidney isoform, mitochondrial OS=Mus musculus GN=Gls",Gls,D3Z7P3-2
SJPG102017.001,sp|D3Z7P3|GLSK_MOUSE,"Glutaminase kidney isoform, mitochondrial OS=Mus musculus GN=Gls PE=1 SV=1",Gls,D3Z7P3
SJPG104489.001,sp|E9PV24|FIBA_MOUSE,Fibrinogen alpha chain OS=Mus musculus GN=Fga PE=2 SV=1,Fga,E9PV24
SJPG105574.001,sp|E9PZJ8|ASCC3_MOUSE,Activating signal cointegrator 1 complex subunit 3 OS=Mus musculus GN=Ascc3 PE=1 SV=1,Ascc3,E9PZJ8
SJPG112706.001,sp|E9PZQ0|RYR1_MOUSE,Ryanodine receptor 1 OS=Mus musculus GN=Ryr1 PE=1 SV=1,Ryr1,E9PZQ0
SJPG110387.001,sp|E9Q286|ICE1_MOUSE,Little elongation complex subunit 1 OS=Mus musculus GN=Ice1 PE=2 SV=1,Ice1,E9Q286
SJPG104700.001,sp|E9Q401|RYR2_MOUSE,Ryanodine receptor 2 OS=Mus musculus GN=Ryr2 PE=1 SV=1,Ryr2,E9Q401
SJPG113231.001,sp|E9Q414|APOB_MOUSE,Apolipoprotein B-100 OS=Mus musculus GN=Apob PE=1 SV=1,Apob,E9Q414
SJPG108108.001,sp|E9Q4Z2|ACACB_MOUSE,Acetyl-CoA carboxylase 2 OS=Mus musculus GN=Acacb PE=1 SV=1,Acacb,E9Q4Z2
SJPG102495.001,sp|E9Q555|RN213_MOUSE,E3 ubiquitin-protein ligase RNF213 OS=Mus musculus GN=Rnf213 PE=2 SV=1,Rnf213,E9Q555
SJPG112318.001,sp|E9Q557|DESP_MOUSE,Desmoplakin OS=Mus musculus GN=Dsp PE=1 SV=1,Dsp,E9Q557
SJPG106511.001,sp|E9Q735|UBE4A_MOUSE,Ubiquitin conjugation factor E4 A OS=Mus musculus GN=Ube4a PE=1 SV=1,Ube4a,E9Q735
SJPG106522.001,sp|E9Q8I9|FRY_MOUSE,Protein furry homolog OS=Mus musculus GN=Fry PE=1 SV=1,Fry,E9Q8I9
SJPG100006.001,sp|E9Q942|SIM13_MOUSE,Small integral membrane protein 13 OS=Mus musculus GN=Smim13 PE=3 SV=1,Smim13,E9Q942
SJPG121276.002,sp|E9Q9K5-2|TRDN_MOUSE,Isoform 2 of Triadin OS=Mus musculus GN=Trdn,Trdn,E9Q9K5-2
SJPG121276.001,sp|E9Q9K5|TRDN_MOUSE,Triadin OS=Mus musculus GN=Trdn PE=1 SV=1,Trdn,E9Q9K5
SJPG102391.001,sp|F6ZDS4|TPR_MOUSE,Nucleoprotein TPR OS=Mus musculus GN=Tpr PE=1 SV=1,Tpr,F6ZDS4
SJPG105817.001,sp|G3X9K3|BIG1_MOUSE,Brefeldin A-inhibited guanine nucleotide-exchange protein 1 OS=Mus musculus GN=Arfgef1 PE=2 SV=1,Arfgef1,G3X9K3
SJPG101992.001,sp|G5E829|AT2B1_MOUSE,Plasma membrane calcium-transporting ATPase 1 OS=Mus musculus GN=Atp2b1 PE=1 SV=1,Atp2b1,G5E829
SJPG104938.001,sp|G5E870|TRIPC_MOUSE,E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus GN=Trip12 PE=1 SV=1,Trip12,G5E870
SJPG101554.001,sp|G5E8K5|ANK3_MOUSE,Ankyrin-3 OS=Mus musculus GN=Ank3 PE=1 SV=1,Ank3,G5E8K5
SJPG100511.001,sp|O08528|HXK2_MOUSE,Hexokinase-2 OS=Mus musculus GN=Hk2 PE=2 SV=1,Hk2,O08528
SJPG102613.001,sp|O08529|CAN2_MOUSE,Calpain-2 catalytic subunit OS=Mus musculus GN=Capn2 PE=2 SV=4,Capn2,O08529
SJPG110076.001,sp|O08530|S1PR1_MOUSE,Sphingosine 1-phosphate receptor 1 OS=Mus musculus GN=S1pr1 PE=1 SV=3,S1pr1,O08530
SJPG102624.001,sp|O08532|CA2D1_MOUSE,Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Mus musculus GN=Cacna2d1 PE=1 SV=1,Cacna2d1,O08532
SJPG101892.002,sp|O08539-2|BIN1_MOUSE,Isoform 2 of Myc box-dependent-interacting protein 1 OS=Mus musculus GN=Bin1,Bin1,O08539-2
SJPG101892.001,sp|O08539|BIN1_MOUSE,Myc box-dependent-interacting protein 1 OS=Mus musculus GN=Bin1 PE=1 SV=1,Bin1,O08539
SJPG100206.001,sp|O08547|SC22B_MOUSE,Vesicle-trafficking protein SEC22b OS=Mus musculus GN=Sec22b PE=1 SV=3,Sec22b,O08547
SJPG100241.001,sp|O08553|DPYL2_MOUSE,Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2,Dpysl2,O08553
SJPG104741.001,sp|O08573|LEG9_MOUSE,Galectin-9 OS=Mus musculus GN=Lgals9 PE=1 SV=1,Lgals9,O08573
SJPG100088.001,sp|O08579|EMD_MOUSE,Emerin OS=Mus musculus GN=Emd PE=1 SV=1,Emd,O08579
SJPG101900.001,sp|O08582|GTPB1_MOUSE,GTP-binding protein 1 OS=Mus musculus GN=Gtpbp1 PE=1 SV=2,Gtpbp1,O08582
SJPG100875.001,sp|O08583|THOC4_MOUSE,THO complex subunit 4 OS=Mus musculus GN=Alyref PE=1 SV=3,Alyref,O08583
SJPG100601.001,sp|O08599|STXB1_MOUSE,Syntaxin-binding protein 1 OS=Mus musculus GN=Stxbp1 PE=1 SV=2,Stxbp1,O08599
SJPG106002.001,sp|O08600|NUCG_MOUSE,"Endonuclease G, mitochondrial OS=Mus musculus GN=Endog PE=2 SV=1",Endog,O08600
SJPG105278.001,sp|O08605|MKNK1_MOUSE,MAP kinase-interacting serine/threonine-protein kinase 1 OS=Mus musculus GN=Mknk1 PE=1 SV=2,Mknk1,O08605
SJPG103181.001,sp|O08638|MYH11_MOUSE,Myosin-11 OS=Mus musculus GN=Myh11 PE=1 SV=1,Myh11,O08638
SJPG105007.001,sp|O08663|MAP2_MOUSE,Methionine aminopeptidase 2 OS=Mus musculus GN=Metap2 PE=1 SV=1,Metap2,O08663
SJPG105443.002,sp|O08677-2|KNG1_MOUSE,Isoform LMW of Kininogen-1 OS=Mus musculus GN=Kng1,Kng1,O08677-2
SJPG105443.001,sp|O08677|KNG1_MOUSE,Kininogen-1 OS=Mus musculus GN=Kng1 PE=1 SV=1,Kng1,O08677
SJPG118295.001,sp|O08689|GDF8_MOUSE,Growth/differentiation factor 8 OS=Mus musculus GN=Mstn PE=1 SV=1,Mstn,O08689
SJPG100107.001,sp|O08709|PRDX6_MOUSE,Peroxiredoxin-6 OS=Mus musculus GN=Prdx6 PE=1 SV=3,Prdx6,O08709
SJPG107525.001,sp|O08715|AKAP1_MOUSE,"A-kinase anchor protein 1, mitochondrial OS=Mus musculus GN=Akap1 PE=1 SV=4",Akap1,O08715
SJPG102059.001,sp|O08739|AMPD3_MOUSE,AMP deaminase 3 OS=Mus musculus GN=Ampd3 PE=2 SV=2,Ampd3,O08739
SJPG100544.001,sp|O08749|DLDH_MOUSE,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2",Dld,O08749
SJPG101155.001,sp|O08756|HCD2_MOUSE,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus GN=Hsd17b10 PE=1 SV=4,Hsd17b10,O08756
SJPG101421.001,sp|O08759|UBE3A_MOUSE,Ubiquitin-protein ligase E3A OS=Mus musculus GN=Ube3a PE=1 SV=1,Ube3a,O08759
SJPG102155.001,sp|O08784|TCOF_MOUSE,Treacle protein OS=Mus musculus GN=Tcof1 PE=1 SV=1,Tcof1,O08784
SJPG100880.001,sp|O08788|DCTN1_MOUSE,Dynactin subunit 1 OS=Mus musculus GN=Dctn1 PE=1 SV=3,Dctn1,O08788
SJPG101644.001,sp|O08795|GLU2B_MOUSE,Glucosidase 2 subunit beta OS=Mus musculus GN=Prkcsh PE=1 SV=1,Prkcsh,O08795
SJPG105401.001,sp|O08796|EF2K_MOUSE,Eukaryotic elongation factor 2 kinase OS=Mus musculus GN=Eef2k PE=1 SV=1,Eef2k,O08796
SJPG102710.001,sp|O08807|PRDX4_MOUSE,Peroxiredoxin-4 OS=Mus musculus GN=Prdx4 PE=1 SV=1,Prdx4,O08807
SJPG102102.001,sp|O08810|U5S1_MOUSE,116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus GN=Eftud2 PE=2 SV=1,Eftud2,O08810
SJPG107302.001,sp|O08911|MK12_MOUSE,Mitogen-activated protein kinase 12 OS=Mus musculus GN=Mapk12 PE=1 SV=1,Mapk12,O08911
SJPG104607.001,sp|O08915|AIP_MOUSE,AH receptor-interacting protein OS=Mus musculus GN=Aip PE=1 SV=1,Aip,O08915
SJPG102113.001,sp|O08917|FLOT1_MOUSE,Flotillin-1 OS=Mus musculus GN=Flot1 PE=1 SV=1,Flot1,O08917
SJPG100588.001,sp|O08992|SDCB1_MOUSE,Syntenin-1 OS=Mus musculus GN=Sdcbp PE=1 SV=1,Sdcbp,O08992
SJPG101313.001,sp|O09044|SNP23_MOUSE,Synaptosomal-associated protein 23 OS=Mus musculus GN=Snap23 PE=1 SV=1,Snap23,O09044
SJPG100931.001,sp|O09061|PSB1_MOUSE,Proteasome subunit beta type-1 OS=Mus musculus GN=Psmb1 PE=1 SV=1,Psmb1,O09061
SJPG103875.001,sp|O09106|HDAC1_MOUSE,Histone deacetylase 1 OS=Mus musculus GN=Hdac1 PE=1 SV=1,Hdac1,O09106
SJPG105523.001,sp|O09110|MP2K3_MOUSE,Dual specificity mitogen-activated protein kinase kinase 3 OS=Mus musculus GN=Map2k3 PE=1 SV=2,Map2k3,O09110
SJPG101908.001,sp|O09111|NDUBB_MOUSE,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial OS=Mus musculus GN=Ndufb11 PE=1 SV=2",Ndufb11,O09111
SJPG111183.001,sp|O09117|SYPL1_MOUSE,Synaptophysin-like protein 1 OS=Mus musculus GN=Sypl1 PE=1 SV=2,Sypl1,O09117
SJPG108650.001,sp|O09126|SEM4D_MOUSE,Semaphorin-4D OS=Mus musculus GN=Sema4d PE=1 SV=2,Sema4d,O09126
SJPG102460.001,sp|O09131|GSTO1_MOUSE,Glutathione S-transferase omega-1 OS=Mus musculus GN=Gsto1 PE=2 SV=2,Gsto1,O09131
SJPG103748.001,sp|O09159|MA2B1_MOUSE,Lysosomal alpha-mannosidase OS=Mus musculus GN=Man2b1 PE=2 SV=4,Man2b1,O09159
SJPG108187.001,sp|O09161|CASQ2_MOUSE,Calsequestrin-2 OS=Mus musculus GN=Casq2 PE=1 SV=3,Casq2,O09161
SJPG114613.001,sp|O09165|CASQ1_MOUSE,Calsequestrin-1 OS=Mus musculus GN=Casq1 PE=1 SV=3,Casq1,O09165
SJPG102380.001,sp|O09167|RL21_MOUSE,60S ribosomal protein L21 OS=Mus musculus GN=Rpl21 PE=2 SV=3,Rpl21,O09167
SJPG101460.001,sp|O09172|GSH0_MOUSE,Glutamate--cysteine ligase regulatory subunit OS=Mus musculus GN=Gclm PE=2 SV=1,Gclm,O09172
SJPG103258.001,sp|O09174|AMACR_MOUSE,Alpha-methylacyl-CoA racemase OS=Mus musculus GN=Amacr PE=1 SV=4,Amacr,O09174
SJPG104711.001,sp|O35066|KIF3C_MOUSE,Kinesin-like protein KIF3C OS=Mus musculus GN=Kif3c PE=1 SV=3,Kif3c,O35066
SJPG105152.001,sp|O35071|KIF1C_MOUSE,Kinesin-like protein KIF1C OS=Mus musculus GN=Kif1c PE=2 SV=2,Kif1c,O35071
SJPG105177.001,sp|O35074|PTGIS_MOUSE,Prostacyclin synthase OS=Mus musculus GN=Ptgis PE=2 SV=1,Ptgis,O35074
SJPG102679.001,sp|O35114|SCRB2_MOUSE,Lysosome membrane protein 2 OS=Mus musculus GN=Scarb2 PE=1 SV=3,Scarb2,O35114
SJPG101176.001,sp|O35129|PHB2_MOUSE,Prohibitin-2 OS=Mus musculus GN=Phb2 PE=1 SV=1,Phb2,O35129
SJPG107242.001,sp|O35134|RPA1_MOUSE,DNA-directed RNA polymerase I subunit RPA1 OS=Mus musculus GN=Polr1a PE=1 SV=2,Polr1a,O35134
SJPG100009.001,sp|O35143|ATIF1_MOUSE,"ATPase inhibitor, mitochondrial OS=Mus musculus GN=Atpif1 PE=1 SV=2",Atpif1,O35143
SJPG101558.001,sp|O35166|GOSR2_MOUSE,Golgi SNAP receptor complex member 2 OS=Mus musculus GN=Gosr2 PE=2 SV=2,Gosr2,O35166
SJPG104167.001,sp|O35206|COFA1_MOUSE,Collagen alpha-1(XV) chain OS=Mus musculus GN=Col15a1 PE=1 SV=2,Col15a1,O35206
SJPG101044.001,sp|O35215|DOPD_MOUSE,D-dopachrome decarboxylase OS=Mus musculus GN=Ddt PE=1 SV=3,Ddt,O35215
SJPG101833.002,sp|O35226-2|PSMD4_MOUSE,Isoform Rpn10B of 26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus GN=Psmd4,Psmd4,O35226-2
SJPG101833.001,sp|O35226|PSMD4_MOUSE,26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus GN=Psmd4 PE=1 SV=1,Psmd4,O35226
